Nested Sampling Global Log-Evidence           :   -0.520862985423736632E+03  +/-    0.545819048960229786E-01
Nested Importance Sampling Global Log-Evidence:   -0.521373165145623261E+03  +/-    0.881237594582153991E-02

Dim No.       Mean        Sigma
   1    0.741076594733174971E+02    0.140911890775015891E+01
   2    0.223536153204868561E-01    0.160272933820611101E-03
   3    0.142596775997556297E+00    0.138694764869427695E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.719200346730399502E+02
   2    0.223279880570842471E-01
   3    0.132255001022799856E+00

MAP Parameters
Dim No.        Parameter
   1    0.736102272160411815E+02
   2    0.222999637088901609E-01
   3    0.151826976448374923E+00
